Symbol,Index
VBL,NIFTY 100
VEDL,NIFTY 100
WIPRO,NIFTY 100
ZYDUSLIFE,NIFTY 100
360ONE,NIFTY 200
ABB,NIFTY 200
ACC,NIFTY 200
APLAPOLLO,NIFTY 200
AUBANK,NIFTY 200
ADANIENSOL,NIFTY 200
ADANIENT,NIFTY 200
ADANIGREEN,NIFTY 200
ADANIPORTS,NIFTY 200
ADANIPOWER,NIFTY 200
ATGL,NIFTY 200
ABCAPITAL,NIFTY 200
ALKEM,NIFTY 200
AMBUJACEM,NIFTY 200
APOLLOHOSP,NIFTY 200
ASHOKLEY,NIFTY 200
ASIANPAINT,NIFTY 200
ASTRAL,NIFTY 200
AUROPHARMA,NIFTY 200
DMART,NIFTY 200
AXISBANK,NIFTY 200
BSE,NIFTY 200
BAJAJ-AUTO,NIFTY 200
BAJFINANCE,NIFTY 200
BAJAJFINSV,NIFTY 200
BAJAJHLDNG,NIFTY 200
BAJAJHFL,NIFTY 200
BANKBARODA,NIFTY 200
BANKINDIA,NIFTY 200
BDL,NIFTY 200
BEL,NIFTY 200
BHARATFORG,NIFTY 200
BHEL,NIFTY 200
BPCL,NIFTY 200
BHARTIARTL,NIFTY 200
BHARTIHEXA,NIFTY 200
BIOCON,NIFTY 200
BLUESTARCO,NIFTY 200
BOSCHLTD,NIFTY 200
BRITANNIA,NIFTY 200
CGPOWER,NIFTY 200
CANBK,NIFTY 200
CHOLAFIN,NIFTY 200
CIPLA,NIFTY 200
COALINDIA,NIFTY 200
COCHINSHIP,NIFTY 200
COFORGE,NIFTY 200
COLPAL,NIFTY 200
CONCOR,NIFTY 200
COROMANDEL,NIFTY 200
CUMMINSIND,NIFTY 200
DLF,NIFTY 200
DABUR,NIFTY 200
DIVISLAB,NIFTY 200
DIXON,NIFTY 200
DRREDDY,NIFTY 200
DUMMYHDLVR,NIFTY 200
EICHERMOT,NIFTY 200
ETERNAL,NIFTY 200
EXIDEIND,NIFTY 200
NYKAA,NIFTY 200
FEDERALBNK,NIFTY 200
FORTIS,NIFTY 200
GAIL,NIFTY 200
GMRAIRPORT,NIFTY 200
GLENMARK,NIFTY 200
GODFRYPHLP,NIFTY 200
GODREJCP,NIFTY 200
GODREJPROP,NIFTY 200
GRASIM,NIFTY 200
HCLTECH,NIFTY 200
HDFCAMC,NIFTY 200
HDFCBANK,NIFTY 200
HDFCLIFE,NIFTY 200
HAVELLS,NIFTY 200
HEROMOTOCO,NIFTY 200
HINDALCO,NIFTY 200
HAL,NIFTY 200
HINDPETRO,NIFTY 200
HINDUNILVR,NIFTY 200
HINDZINC,NIFTY 200
POWERINDIA,NIFTY 200
HUDCO,NIFTY 200
HYUNDAI,NIFTY 200
ICICIBANK,NIFTY 200
ICICIGI,NIFTY 200
IDFCFIRSTB,NIFTY 200
IRB,NIFTY 200
ITCHOTELS,NIFTY 200
ITC,NIFTY 200
INDIANB,NIFTY 200
INDHOTEL,NIFTY 200
IOC,NIFTY 200
IRCTC,NIFTY 200
IRFC,NIFTY 200
IREDA,NIFTY 200
IGL,NIFTY 200
INDUSTOWER,NIFTY 200
INDUSINDBK,NIFTY 200
NAUKRI,NIFTY 200
INFY,NIFTY 200
INDIGO,NIFTY 200
JSWENERGY,NIFTY 200
JSWSTEEL,NIFTY 200
JINDALSTEL,NIFTY 200
JIOFIN,NIFTY 200
JUBLFOOD,NIFTY 200
KEI,NIFTY 200
KPITTECH,NIFTY 200
KALYANKJIL,NIFTY 200
KOTAKBANK,NIFTY 200
LTF,NIFTY 200
LICHSGFIN,NIFTY 200
LTIM,NIFTY 200
LT,NIFTY 200
LICI,NIFTY 200
LODHA,NIFTY 200
LUPIN,NIFTY 200
MRF,NIFTY 200
M&MFIN,NIFTY 200
M&M,NIFTY 200
MANKIND,NIFTY 200
MARICO,NIFTY 200
MARUTI,NIFTY 200
MFSL,NIFTY 200
MAXHEALTH,NIFTY 200
MAZDOCK,NIFTY 200
MOTILALOFS,NIFTY 200
MPHASIS,NIFTY 200
MUTHOOTFIN,NIFTY 200
NHPC,NIFTY 200
NMDC,NIFTY 200
NTPCGREEN,NIFTY 200
NTPC,NIFTY 200
NATIONALUM,NIFTY 200
NESTLEIND,NIFTY 200
OBEROIRLTY,NIFTY 200
ONGC,NIFTY 200
OIL,NIFTY 200
PAYTM,NIFTY 200
OFSS,NIFTY 200
POLICYBZR,NIFTY 200
PIIND,NIFTY 200
PAGEIND,NIFTY 200
PATANJALI,NIFTY 200
PERSISTENT,NIFTY 200
PHOENIXLTD,NIFTY 200
PIDILITIND,NIFTY 200
POLYCAB,NIFTY 200
PFC,NIFTY 200
POWERGRID,NIFTY 200
PREMIERENE,NIFTY 200
PRESTIGE,NIFTY 200
PNB,NIFTY 200
RECLTD,NIFTY 200
RVNL,NIFTY 200
RELIANCE,NIFTY 200
SBICARD,NIFTY 200
SBILIFE,NIFTY 200
SRF,NIFTY 200
MOTHERSON,NIFTY 200
SHREECEM,NIFTY 200
SHRIRAMFIN,NIFTY 200
ENRIN,NIFTY 200
SIEMENS,NIFTY 200
SOLARINDS,NIFTY 200
SONACOMS,NIFTY 200
SBIN,NIFTY 200
SAIL,NIFTY 200
SUNPHARMA,NIFTY 200
SUPREMEIND,NIFTY 200
SUZLON,NIFTY 200
SWIGGY,NIFTY 200
TVSMOTOR,NIFTY 200
TATACOMM,NIFTY 200
TCS,NIFTY 200
TATACONSUM,NIFTY 200
TATAELXSI,NIFTY 200
TMPV,NIFTY 200
TATAPOWER,NIFTY 200
TATASTEEL,NIFTY 200
TATATECH,NIFTY 200
TECHM,NIFTY 200
TITAN,NIFTY 200
TORNTPHARM,NIFTY 200
TORNTPOWER,NIFTY 200
TRENT,NIFTY 200
TIINDIA,NIFTY 200
UPL,NIFTY 200
ULTRACEMCO,NIFTY 200
UNIONBANK,NIFTY 200
UNITDSPR,NIFTY 200
VBL,NIFTY 200
VEDL,NIFTY 200
VMM,NIFTY 200
IDEA,NIFTY 200
VOLTAS,NIFTY 200
WAAREEENER,NIFTY 200
WIPRO,NIFTY 200
YESBANK,NIFTY 200
ZYDUSLIFE,NIFTY 200
360ONE,NIFTY 500
3MINDIA,NIFTY 500
ABB,NIFTY 500
ACC,NIFTY 500
ACMESOLAR,NIFTY 500
AIAENG,NIFTY 500
APLAPOLLO,NIFTY 500
AUBANK,NIFTY 500
AWL,NIFTY 500
AADHARHFC,NIFTY 500
AARTIIND,NIFTY 500
AAVAS,NIFTY 500
ABBOTINDIA,NIFTY 500
ACE,NIFTY 500
ADANIENSOL,NIFTY 500
ADANIENT,NIFTY 500
ADANIGREEN,NIFTY 500
ADANIPORTS,NIFTY 500
ADANIPOWER,NIFTY 500
ATGL,NIFTY 500
ABCAPITAL,NIFTY 500
ABFRL,NIFTY 500
ABLBL,NIFTY 500
ABREL,NIFTY 500
ABSLAMC,NIFTY 500
AEGISLOG,NIFTY 500
AEGISVOPAK,NIFTY 500
AFCONS,NIFTY 500
AFFLE,NIFTY 500
AJANTPHARM,NIFTY 500
AKUMS,NIFTY 500
AKZOINDIA,NIFTY 500
APLLTD,NIFTY 500
ALKEM,NIFTY 500
ALKYLAMINE,NIFTY 500
ALOKINDS,NIFTY 500
ARE&M,NIFTY 500
AMBER,NIFTY 500
AMBUJACEM,NIFTY 500
ANANDRATHI,NIFTY 500
ANANTRAJ,NIFTY 500
ANGELONE,NIFTY 500
APARINDS,NIFTY 500
APOLLOHOSP,NIFTY 500
APOLLOTYRE,NIFTY 500
APTUS,NIFTY 500
ASAHIINDIA,NIFTY 500
ASHOKLEY,NIFTY 500
ASIANPAINT,NIFTY 500
ASTERDM,NIFTY 500
ASTRAZEN,NIFTY 500
ASTRAL,NIFTY 500
ATHERENERG,NIFTY 500
ATUL,NIFTY 500
AUROPHARMA,NIFTY 500
AIIL,NIFTY 500
DMART,NIFTY 500
AXISBANK,NIFTY 500
BASF,NIFTY 500
BEML,NIFTY 500
BLS,NIFTY 500
BSE,NIFTY 500
BAJAJ-AUTO,NIFTY 500
BAJFINANCE,NIFTY 500
BAJAJFINSV,NIFTY 500
BAJAJHLDNG,NIFTY 500
BAJAJHFL,NIFTY 500
BALKRISIND,NIFTY 500
BALRAMCHIN,NIFTY 500
BANDHANBNK,NIFTY 500
BANKBARODA,NIFTY 500
BANKINDIA,NIFTY 500
MAHABANK,NIFTY 500
BATAINDIA,NIFTY 500
BAYERCROP,NIFTY 500
BERGEPAINT,NIFTY 500
BDL,NIFTY 500
BEL,NIFTY 500
BHARATFORG,NIFTY 500
BHEL,NIFTY 500
BPCL,NIFTY 500
BHARTIARTL,NIFTY 500
BHARTIHEXA,NIFTY 500
BIKAJI,NIFTY 500
BIOCON,NIFTY 500
BSOFT,NIFTY 500
BLUEDART,NIFTY 500
BLUEJET,NIFTY 500
BLUESTARCO,NIFTY 500
BBTC,NIFTY 500
BOSCHLTD,NIFTY 500
FIRSTCRY,NIFTY 500
BRIGADE,NIFTY 500
BRITANNIA,NIFTY 500
MAPMYINDIA,NIFTY 500
CCL,NIFTY 500
CESC,NIFTY 500
CGPOWER,NIFTY 500
CRISIL,NIFTY 500
CAMPUS,NIFTY 500
CANFINHOME,NIFTY 500
CANBK,NIFTY 500
CAPLIPOINT,NIFTY 500
CGCL,NIFTY 500
CARBORUNIV,NIFTY 500
CASTROLIND,NIFTY 500
CEATLTD,NIFTY 500
CENTRALBK,NIFTY 500
CDSL,NIFTY 500
CENTURYPLY,NIFTY 500
CERA,NIFTY 500
CHALET,NIFTY 500
CHAMBLFERT,NIFTY 500
CHENNPETRO,NIFTY 500
CHOICEIN,NIFTY 500
CHOLAHLDNG,NIFTY 500
CHOLAFIN,NIFTY 500
CIPLA,NIFTY 500
CUB,NIFTY 500
CLEAN,NIFTY 500
COALINDIA,NIFTY 500
COCHINSHIP,NIFTY 500
COFORGE,NIFTY 500
COHANCE,NIFTY 500
COLPAL,NIFTY 500
CAMS,NIFTY 500
CONCORDBIO,NIFTY 500
CONCOR,NIFTY 500
COROMANDEL,NIFTY 500
CRAFTSMAN,NIFTY 500
CREDITACC,NIFTY 500
CROMPTON,NIFTY 500
CUMMINSIND,NIFTY 500
CYIENT,NIFTY 500
DCMSHRIRAM,NIFTY 500
DLF,NIFTY 500
DOMS,NIFTY 500
DABUR,NIFTY 500
DALBHARAT,NIFTY 500
DATAPATTNS,NIFTY 500
DEEPAKFERT,NIFTY 500
DEEPAKNTR,NIFTY 500
DELHIVERY,NIFTY 500
DEVYANI,NIFTY 500
DIVISLAB,NIFTY 500
DIXON,NIFTY 500
AGARWALEYE,NIFTY 500
LALPATHLAB,NIFTY 500
DRREDDY,NIFTY 500
DUMMYHDLVR,NIFTY 500
EIDPARRY,NIFTY 500
EIHOTEL,NIFTY 500
EICHERMOT,NIFTY 500
ELECON,NIFTY 500
ELGIEQUIP,NIFTY 500
EMAMILTD,NIFTY 500
EMCURE,NIFTY 500
ENDURANCE,NIFTY 500
ENGINERSIN,NIFTY 500
ERIS,NIFTY 500
ESCORTS,NIFTY 500
ETERNAL,NIFTY 500
EXIDEIND,NIFTY 500
NYKAA,NIFTY 500
FEDERALBNK,NIFTY 500
FACT,NIFTY 500
FINCABLES,NIFTY 500
FINPIPE,NIFTY 500
FSL,NIFTY 500
FIVESTAR,NIFTY 500
FORCEMOT,NIFTY 500
FORTIS,NIFTY 500
GAIL,NIFTY 500
GVT&D,NIFTY 500
GMRAIRPORT,NIFTY 500
GRSE,NIFTY 500
GICRE,NIFTY 500
GILLETTE,NIFTY 500
GLAND,NIFTY 500
GLAXO,NIFTY 500
GLENMARK,NIFTY 500
MEDANTA,NIFTY 500
GODIGIT,NIFTY 500
GPIL,NIFTY 500
GODFRYPHLP,NIFTY 500
GODREJAGRO,NIFTY 500
GODREJCP,NIFTY 500
GODREJIND,NIFTY 500
GODREJPROP,NIFTY 500
GRANULES,NIFTY 500
GRAPHITE,NIFTY 500
GRASIM,NIFTY 500
GRAVITA,NIFTY 500
GESHIP,NIFTY 500
FLUOROCHEM,NIFTY 500
GUJGASLTD,NIFTY 500
GMDCLTD,NIFTY 500
GSPL,NIFTY 500
HEG,NIFTY 500
HBLENGINE,NIFTY 500
HCLTECH,NIFTY 500
HDFCAMC,NIFTY 500
HDFCBANK,NIFTY 500
HDFCLIFE,NIFTY 500
HFCL,NIFTY 500
HAPPSTMNDS,NIFTY 500
HAVELLS,NIFTY 500
HEROMOTOCO,NIFTY 500
HEXT,NIFTY 500
HSCL,NIFTY 500
HINDALCO,NIFTY 500
HAL,NIFTY 500
HINDCOPPER,NIFTY 500
HINDPETRO,NIFTY 500
HINDUNILVR,NIFTY 500
HINDZINC,NIFTY 500
POWERINDIA,NIFTY 500
HOMEFIRST,NIFTY 500
HONASA,NIFTY 500
HONAUT,NIFTY 500
HUDCO,NIFTY 500
HYUNDAI,NIFTY 500
ICICIBANK,NIFTY 500
ICICIGI,NIFTY 500
ICICIPRULI,NIFTY 500
IDBI,NIFTY 500
IDFCFIRSTB,NIFTY 500
IFCI,NIFTY 500
IIFL,NIFTY 500
INOXINDIA,NIFTY 500
IRB,NIFTY 500
IRCON,NIFTY 500
ITCHOTELS,NIFTY 500
ITC,NIFTY 500
ITI,NIFTY 500
INDGN,NIFTY 500
INDIACEM,NIFTY 500
INDIAMART,NIFTY 500
INDIANB,NIFTY 500
IEX,NIFTY 500
INDHOTEL,NIFTY 500
IOC,NIFTY 500
IOB,NIFTY 500
IRCTC,NIFTY 500
IRFC,NIFTY 500
IREDA,NIFTY 500
IGL,NIFTY 500
INDUSTOWER,NIFTY 500
INDUSINDBK,NIFTY 500
NAUKRI,NIFTY 500
INFY,NIFTY 500
INOXWIND,NIFTY 500
INTELLECT,NIFTY 500
INDIGO,NIFTY 500
IGIL,NIFTY 500
IKS,NIFTY 500
IPCALAB,NIFTY 500
JBCHEPHARM,NIFTY 500
JKCEMENT,NIFTY 500
JBMA,NIFTY 500
JKTYRE,NIFTY 500
JMFINANCIL,NIFTY 500
JSWENERGY,NIFTY 500
JSWINFRA,NIFTY 500
JSWSTEEL,NIFTY 500
JPPOWER,NIFTY 500
J&KBANK,NIFTY 500
JINDALSAW,NIFTY 500
JSL,NIFTY 500
JINDALSTEL,NIFTY 500
JIOFIN,NIFTY 500
JUBLFOOD,NIFTY 500
JUBLINGREA,NIFTY 500
JUBLPHARMA,NIFTY 500
JWL,NIFTY 500
JYOTHYLAB,NIFTY 500
JYOTICNC,NIFTY 500
KPRMILL,NIFTY 500
KEI,NIFTY 500
KPITTECH,NIFTY 500
KSB,NIFTY 500
KAJARIACER,NIFTY 500
KPIL,NIFTY 500
KALYANKJIL,NIFTY 500
KARURVYSYA,NIFTY 500
KAYNES,NIFTY 500
KEC,NIFTY 500
KFINTECH,NIFTY 500
KIRLOSBROS,NIFTY 500
KIRLOSENG,NIFTY 500
KOTAKBANK,NIFTY 500
KIMS,NIFTY 500
LTF,NIFTY 500
LTTS,NIFTY 500
LICHSGFIN,NIFTY 500
LTFOODS,NIFTY 500
LTIM,NIFTY 500
LT,NIFTY 500
LATENTVIEW,NIFTY 500
LAURUSLABS,NIFTY 500
THELEELA,NIFTY 500
LEMONTREE,NIFTY 500
LICI,NIFTY 500
LINDEINDIA,NIFTY 500
LLOYDSME,NIFTY 500
LODHA,NIFTY 500
LUPIN,NIFTY 500
MMTC,NIFTY 500
MRF,NIFTY 500
MGL,NIFTY 500
MAHSCOOTER,NIFTY 500
MAHSEAMLES,NIFTY 500
M&MFIN,NIFTY 500
M&M,NIFTY 500
MANAPPURAM,NIFTY 500
MRPL,NIFTY 500
MANKIND,NIFTY 500
MARICO,NIFTY 500
MARUTI,NIFTY 500
MFSL,NIFTY 500
MAXHEALTH,NIFTY 500
MAZDOCK,NIFTY 500
METROPOLIS,NIFTY 500
MINDACORP,NIFTY 500
MSUMI,NIFTY 500
MOTILALOFS,NIFTY 500
MPHASIS,NIFTY 500
MCX,NIFTY 500
MUTHOOTFIN,NIFTY 500
NATCOPHARM,NIFTY 500
NBCC,NIFTY 500
NCC,NIFTY 500
NHPC,NIFTY 500
NLCINDIA,NIFTY 500
NMDC,NIFTY 500
NSLNISP,NIFTY 500
NTPCGREEN,NIFTY 500
NTPC,NIFTY 500
NH,NIFTY 500
NATIONALUM,NIFTY 500
NAVA,NIFTY 500
NAVINFLUOR,NIFTY 500
NESTLEIND,NIFTY 500
NETWEB,NIFTY 500
NEULANDLAB,NIFTY 500
NEWGEN,NIFTY 500
NAM-INDIA,NIFTY 500
NIVABUPA,NIFTY 500
NUVAMA,NIFTY 500
NUVOCO,NIFTY 500
OBEROIRLTY,NIFTY 500
ONGC,NIFTY 500
OIL,NIFTY 500
OLAELEC,NIFTY 500
OLECTRA,NIFTY 500
PAYTM,NIFTY 500
ONESOURCE,NIFTY 500
OFSS,NIFTY 500
POLICYBZR,NIFTY 500
PCBL,NIFTY 500
PGEL,NIFTY 500
PIIND,NIFTY 500
PNBHOUSING,NIFTY 500
PTCIL,NIFTY 500
PVRINOX,NIFTY 500
PAGEIND,NIFTY 500
PATANJALI,NIFTY 500
PERSISTENT,NIFTY 500
PETRONET,NIFTY 500
PFIZER,NIFTY 500
PHOENIXLTD,NIFTY 500
PIDILITIND,NIFTY 500
PPLPHARMA,NIFTY 500
POLYMED,NIFTY 500
POLYCAB,NIFTY 500
POONAWALLA,NIFTY 500
PFC,NIFTY 500
POWERGRID,NIFTY 500
PRAJIND,NIFTY 500
PREMIERENE,NIFTY 500
PRESTIGE,NIFTY 500
PGHH,NIFTY 500
PNB,NIFTY 500
RRKABEL,NIFTY 500
RBLBANK,NIFTY 500
RECLTD,NIFTY 500
RHIM,NIFTY 500
RITES,NIFTY 500
RADICO,NIFTY 500
RVNL,NIFTY 500
RAILTEL,NIFTY 500
RAINBOW,NIFTY 500
RKFORGE,NIFTY 500
RCF,NIFTY 500
REDINGTON,NIFTY 500
RELIANCE,NIFTY 500
RELINFRA,NIFTY 500
RPOWER,NIFTY 500
SBFC,NIFTY 500
SBICARD,NIFTY 500
SBILIFE,NIFTY 500
SJVN,NIFTY 500
SKFINDUS,NIFTY 500
SKFINDIA,NIFTY 500
SRF,NIFTY 500
SAGILITY,NIFTY 500
SAILIFE,NIFTY 500
SAMMAANCAP,NIFTY 500
MOTHERSON,NIFTY 500
SAPPHIRE,NIFTY 500
SARDAEN,NIFTY 500
SAREGAMA,NIFTY 500
SCHAEFFLER,NIFTY 500
SCHNEIDER,NIFTY 500
SCI,NIFTY 500
SHREECEM,NIFTY 500
SHRIRAMFIN,NIFTY 500
SHYAMMETL,NIFTY 500
ENRIN,NIFTY 500
SIEMENS,NIFTY 500
SIGNATURE,NIFTY 500
SOBHA,NIFTY 500
SOLARINDS,NIFTY 500
SONACOMS,NIFTY 500
SONATSOFTW,NIFTY 500
STARHEALTH,NIFTY 500
SBIN,NIFTY 500
SAIL,NIFTY 500
SUMICHEM,NIFTY 500
SUNPHARMA,NIFTY 500
SUNTV,NIFTY 500
SUNDARMFIN,NIFTY 500
SUNDRMFAST,NIFTY 500
SUPREMEIND,NIFTY 500
SUZLON,NIFTY 500
SWANCORP,NIFTY 500
SWIGGY,NIFTY 500
SYNGENE,NIFTY 500
SYRMA,NIFTY 500
TBOTEK,NIFTY 500
TVSMOTOR,NIFTY 500
TATACHEM,NIFTY 500
TATACOMM,NIFTY 500
TCS,NIFTY 500
TATACONSUM,NIFTY 500
TATAELXSI,NIFTY 500
TATAINVEST,NIFTY 500
TMPV,NIFTY 500
TATAPOWER,NIFTY 500
TATASTEEL,NIFTY 500
TATATECH,NIFTY 500
TTML,NIFTY 500
TECHM,NIFTY 500
TECHNOE,NIFTY 500
TEJASNET,NIFTY 500
NIACL,NIFTY 500
RAMCOCEM,NIFTY 500
THERMAX,NIFTY 500
TIMKEN,NIFTY 500
TITAGARH,NIFTY 500
TITAN,NIFTY 500
TORNTPHARM,NIFTY 500
TORNTPOWER,NIFTY 500
TARIL,NIFTY 500
TRENT,NIFTY 500
TRIDENT,NIFTY 500
TRIVENI,NIFTY 500
TRITURBINE,NIFTY 500
TIINDIA,NIFTY 500
UCOBANK,NIFTY 500
UNOMINDA,NIFTY 500
UPL,NIFTY 500
UTIAMC,NIFTY 500
ULTRACEMCO,NIFTY 500
UNIONBANK,NIFTY 500
UBL,NIFTY 500
UNITDSPR,NIFTY 500
USHAMART,NIFTY 500
VGUARD,NIFTY 500
DBREALTY,NIFTY 500
VTL,NIFTY 500
VBL,NIFTY 500
MANYAVAR,NIFTY 500
VEDL,NIFTY 500
VENTIVE,NIFTY 500
VIJAYA,NIFTY 500
VMM,NIFTY 500
IDEA,NIFTY 500
VOLTAS,NIFTY 500
WAAREEENER,NIFTY 500
WELCORP,NIFTY 500
WELSPUNLIV,NIFTY 500
WHIRLPOOL,NIFTY 500
WIPRO,NIFTY 500
WOCKPHARMA,NIFTY 500
YESBANK,NIFTY 500
ZFCVINDIA,NIFTY 500
ZEEL,NIFTY 500
ZENTEC,NIFTY 500
ZENSARTECH,NIFTY 500
