Symbol,Index
ZYDUSLIFE,NIFTY 500
ECLERX,NIFTY 500
APLAPOLLO,NIFTY MIDCAP 50
AUBANK,NIFTY MIDCAP 50
ASHOKLEY,NIFTY MIDCAP 50
AUROPHARMA,NIFTY MIDCAP 50
BSE,NIFTY MIDCAP 50
BHARATFORG,NIFTY MIDCAP 50
BHEL,NIFTY MIDCAP 50
COFORGE,NIFTY MIDCAP 50
COLPAL,NIFTY MIDCAP 50
CUMMINSIND,NIFTY MIDCAP 50
DABUR,NIFTY MIDCAP 50
DIXON,NIFTY MIDCAP 50
FEDERALBNK,NIFTY MIDCAP 50
FORTIS,NIFTY MIDCAP 50
GMRAIRPORT,NIFTY MIDCAP 50
GODREJPROP,NIFTY MIDCAP 50
HDFCAMC,NIFTY MIDCAP 50
HEROMOTOCO,NIFTY MIDCAP 50
HINDPETRO,NIFTY MIDCAP 50
IDFCFIRSTB,NIFTY MIDCAP 50
IRCTC,NIFTY MIDCAP 50
INDUSTOWER,NIFTY MIDCAP 50
INDUSINDBK,NIFTY MIDCAP 50
JUBLFOOD,NIFTY MIDCAP 50
LUPIN,NIFTY MIDCAP 50
MANKIND,NIFTY MIDCAP 50
MARICO,NIFTY MIDCAP 50
MFSL,NIFTY MIDCAP 50
MPHASIS,NIFTY MIDCAP 50
MUTHOOTFIN,NIFTY MIDCAP 50
NHPC,NIFTY MIDCAP 50
NMDC,NIFTY MIDCAP 50
OBEROIRLTY,NIFTY MIDCAP 50
OIL,NIFTY MIDCAP 50
PAYTM,NIFTY MIDCAP 50
OFSS,NIFTY MIDCAP 50
POLICYBZR,NIFTY MIDCAP 50
PIIND,NIFTY MIDCAP 50
PAGEIND,NIFTY MIDCAP 50
PERSISTENT,NIFTY MIDCAP 50
PHOENIXLTD,NIFTY MIDCAP 50
POLYCAB,NIFTY MIDCAP 50
PRESTIGE,NIFTY MIDCAP 50
SBICARD,NIFTY MIDCAP 50
SRF,NIFTY MIDCAP 50
SUPREMEIND,NIFTY MIDCAP 50
SUZLON,NIFTY MIDCAP 50
TIINDIA,NIFTY MIDCAP 50
UPL,NIFTY MIDCAP 50
YESBANK,NIFTY MIDCAP 50
360ONE,NIFTY MIDCAP 100
ACC,NIFTY MIDCAP 100
APLAPOLLO,NIFTY MIDCAP 100
AUBANK,NIFTY MIDCAP 100
ATGL,NIFTY MIDCAP 100
ABCAPITAL,NIFTY MIDCAP 100
ALKEM,NIFTY MIDCAP 100
ASHOKLEY,NIFTY MIDCAP 100
ASTRAL,NIFTY MIDCAP 100
AUROPHARMA,NIFTY MIDCAP 100
BSE,NIFTY MIDCAP 100
BANKINDIA,NIFTY MIDCAP 100
BDL,NIFTY MIDCAP 100
BHARATFORG,NIFTY MIDCAP 100
BHEL,NIFTY MIDCAP 100
BHARTIHEXA,NIFTY MIDCAP 100
BIOCON,NIFTY MIDCAP 100
BLUESTARCO,NIFTY MIDCAP 100
COCHINSHIP,NIFTY MIDCAP 100
COFORGE,NIFTY MIDCAP 100
COLPAL,NIFTY MIDCAP 100
CONCOR,NIFTY MIDCAP 100
COROMANDEL,NIFTY MIDCAP 100
CUMMINSIND,NIFTY MIDCAP 100
DABUR,NIFTY MIDCAP 100
DIXON,NIFTY MIDCAP 100
EXIDEIND,NIFTY MIDCAP 100
NYKAA,NIFTY MIDCAP 100
FEDERALBNK,NIFTY MIDCAP 100
FORTIS,NIFTY MIDCAP 100
GMRAIRPORT,NIFTY MIDCAP 100
GLENMARK,NIFTY MIDCAP 100
GODFRYPHLP,NIFTY MIDCAP 100
GODREJPROP,NIFTY MIDCAP 100
HDFCAMC,NIFTY MIDCAP 100
HEROMOTOCO,NIFTY MIDCAP 100
HINDPETRO,NIFTY MIDCAP 100
POWERINDIA,NIFTY MIDCAP 100
HUDCO,NIFTY MIDCAP 100
IDFCFIRSTB,NIFTY MIDCAP 100
IRB,NIFTY MIDCAP 100
ITCHOTELS,NIFTY MIDCAP 100
INDIANB,NIFTY MIDCAP 100
IRCTC,NIFTY MIDCAP 100
IREDA,NIFTY MIDCAP 100
IGL,NIFTY MIDCAP 100
INDUSTOWER,NIFTY MIDCAP 100
INDUSINDBK,NIFTY MIDCAP 100
JUBLFOOD,NIFTY MIDCAP 100
KEI,NIFTY MIDCAP 100
KPITTECH,NIFTY MIDCAP 100
KALYANKJIL,NIFTY MIDCAP 100
LTF,NIFTY MIDCAP 100
LICHSGFIN,NIFTY MIDCAP 100
LUPIN,NIFTY MIDCAP 100
MRF,NIFTY MIDCAP 100
M&MFIN,NIFTY MIDCAP 100
MANKIND,NIFTY MIDCAP 100
MARICO,NIFTY MIDCAP 100
MFSL,NIFTY MIDCAP 100
MOTILALOFS,NIFTY MIDCAP 100
MPHASIS,NIFTY MIDCAP 100
MUTHOOTFIN,NIFTY MIDCAP 100
NHPC,NIFTY MIDCAP 100
NMDC,NIFTY MIDCAP 100
NTPCGREEN,NIFTY MIDCAP 100
NATIONALUM,NIFTY MIDCAP 100
OBEROIRLTY,NIFTY MIDCAP 100
OIL,NIFTY MIDCAP 100
PAYTM,NIFTY MIDCAP 100
OFSS,NIFTY MIDCAP 100
POLICYBZR,NIFTY MIDCAP 100
PIIND,NIFTY MIDCAP 100
PAGEIND,NIFTY MIDCAP 100
PATANJALI,NIFTY MIDCAP 100
PERSISTENT,NIFTY MIDCAP 100
PHOENIXLTD,NIFTY MIDCAP 100
POLYCAB,NIFTY MIDCAP 100
PREMIERENE,NIFTY MIDCAP 100
PRESTIGE,NIFTY MIDCAP 100
RVNL,NIFTY MIDCAP 100
SBICARD,NIFTY MIDCAP 100
SRF,NIFTY MIDCAP 100
SONACOMS,NIFTY MIDCAP 100
SAIL,NIFTY MIDCAP 100
SUPREMEIND,NIFTY MIDCAP 100
SUZLON,NIFTY MIDCAP 100
SWIGGY,NIFTY MIDCAP 100
TATACOMM,NIFTY MIDCAP 100
TATAELXSI,NIFTY MIDCAP 100
TATATECH,NIFTY MIDCAP 100
TORNTPOWER,NIFTY MIDCAP 100
TIINDIA,NIFTY MIDCAP 100
UPL,NIFTY MIDCAP 100
UNIONBANK,NIFTY MIDCAP 100
VMM,NIFTY MIDCAP 100
IDEA,NIFTY MIDCAP 100
VOLTAS,NIFTY MIDCAP 100
WAAREEENER,NIFTY MIDCAP 100
YESBANK,NIFTY MIDCAP 100
360ONE,NIFTY MIDCAP 150
3MINDIA,NIFTY MIDCAP 150
ACC,NIFTY MIDCAP 150
AIAENG,NIFTY MIDCAP 150
APLAPOLLO,NIFTY MIDCAP 150
AUBANK,NIFTY MIDCAP 150
AWL,NIFTY MIDCAP 150
ABBOTINDIA,NIFTY MIDCAP 150
ATGL,NIFTY MIDCAP 150
ABCAPITAL,NIFTY MIDCAP 150
AJANTPHARM,NIFTY MIDCAP 150
ALKEM,NIFTY MIDCAP 150
APARINDS,NIFTY MIDCAP 150
APOLLOTYRE,NIFTY MIDCAP 150
ASHOKLEY,NIFTY MIDCAP 150
ASTRAL,NIFTY MIDCAP 150
AUROPHARMA,NIFTY MIDCAP 150
BSE,NIFTY MIDCAP 150
BALKRISIND,NIFTY MIDCAP 150
BANKINDIA,NIFTY MIDCAP 150
MAHABANK,NIFTY MIDCAP 150
BERGEPAINT,NIFTY MIDCAP 150
BDL,NIFTY MIDCAP 150
BHARATFORG,NIFTY MIDCAP 150
BHEL,NIFTY MIDCAP 150
BHARTIHEXA,NIFTY MIDCAP 150
BIOCON,NIFTY MIDCAP 150
BLUESTARCO,NIFTY MIDCAP 150
CRISIL,NIFTY MIDCAP 150
COCHINSHIP,NIFTY MIDCAP 150
COFORGE,NIFTY MIDCAP 150
COLPAL,NIFTY MIDCAP 150
CONCOR,NIFTY MIDCAP 150
COROMANDEL,NIFTY MIDCAP 150
CUMMINSIND,NIFTY MIDCAP 150
DABUR,NIFTY MIDCAP 150
DALBHARAT,NIFTY MIDCAP 150
DEEPAKNTR,NIFTY MIDCAP 150
DIXON,NIFTY MIDCAP 150
ENDURANCE,NIFTY MIDCAP 150
ESCORTS,NIFTY MIDCAP 150
EXIDEIND,NIFTY MIDCAP 150
NYKAA,NIFTY MIDCAP 150
FEDERALBNK,NIFTY MIDCAP 150
FACT,NIFTY MIDCAP 150
FORTIS,NIFTY MIDCAP 150
GVT&D,NIFTY MIDCAP 150
GMRAIRPORT,NIFTY MIDCAP 150
GICRE,NIFTY MIDCAP 150
GLAXO,NIFTY MIDCAP 150
GLENMARK,NIFTY MIDCAP 150
MEDANTA,NIFTY MIDCAP 150
GODFRYPHLP,NIFTY MIDCAP 150
GODREJIND,NIFTY MIDCAP 150
GODREJPROP,NIFTY MIDCAP 150
FLUOROCHEM,NIFTY MIDCAP 150
GUJGASLTD,NIFTY MIDCAP 150
HDFCAMC,NIFTY MIDCAP 150
HEROMOTOCO,NIFTY MIDCAP 150
HEXT,NIFTY MIDCAP 150
HINDPETRO,NIFTY MIDCAP 150
POWERINDIA,NIFTY MIDCAP 150
HONAUT,NIFTY MIDCAP 150
HUDCO,NIFTY MIDCAP 150
ICICIPRULI,NIFTY MIDCAP 150
IDBI,NIFTY MIDCAP 150
IDFCFIRSTB,NIFTY MIDCAP 150
IRB,NIFTY MIDCAP 150
ITCHOTELS,NIFTY MIDCAP 150
INDIANB,NIFTY MIDCAP 150
IOB,NIFTY MIDCAP 150
IRCTC,NIFTY MIDCAP 150
IREDA,NIFTY MIDCAP 150
IGL,NIFTY MIDCAP 150
INDUSTOWER,NIFTY MIDCAP 150
INDUSINDBK,NIFTY MIDCAP 150
IPCALAB,NIFTY MIDCAP 150
JKCEMENT,NIFTY MIDCAP 150
JSWINFRA,NIFTY MIDCAP 150
JSL,NIFTY MIDCAP 150
JUBLFOOD,NIFTY MIDCAP 150
KPRMILL,NIFTY MIDCAP 150
KEI,NIFTY MIDCAP 150
KPITTECH,NIFTY MIDCAP 150
KALYANKJIL,NIFTY MIDCAP 150
LTF,NIFTY MIDCAP 150
LTTS,NIFTY MIDCAP 150
LICHSGFIN,NIFTY MIDCAP 150
LINDEINDIA,NIFTY MIDCAP 150
LLOYDSME,NIFTY MIDCAP 150
LUPIN,NIFTY MIDCAP 150
MRF,NIFTY MIDCAP 150
M&MFIN,NIFTY MIDCAP 150
MANKIND,NIFTY MIDCAP 150
MARICO,NIFTY MIDCAP 150
MFSL,NIFTY MIDCAP 150
MOTILALOFS,NIFTY MIDCAP 150
MPHASIS,NIFTY MIDCAP 150
MUTHOOTFIN,NIFTY MIDCAP 150
NHPC,NIFTY MIDCAP 150
NLCINDIA,NIFTY MIDCAP 150
NMDC,NIFTY MIDCAP 150
NTPCGREEN,NIFTY MIDCAP 150
NATIONALUM,NIFTY MIDCAP 150
NAM-INDIA,NIFTY MIDCAP 150
OBEROIRLTY,NIFTY MIDCAP 150
OIL,NIFTY MIDCAP 150
PAYTM,NIFTY MIDCAP 150
OFSS,NIFTY MIDCAP 150
POLICYBZR,NIFTY MIDCAP 150
PIIND,NIFTY MIDCAP 150
PAGEIND,NIFTY MIDCAP 150
PATANJALI,NIFTY MIDCAP 150
PERSISTENT,NIFTY MIDCAP 150
PETRONET,NIFTY MIDCAP 150
PHOENIXLTD,NIFTY MIDCAP 150
POLYCAB,NIFTY MIDCAP 150
PREMIERENE,NIFTY MIDCAP 150
PRESTIGE,NIFTY MIDCAP 150
PGHH,NIFTY MIDCAP 150
RVNL,NIFTY MIDCAP 150
SBICARD,NIFTY MIDCAP 150
SJVN,NIFTY MIDCAP 150
SRF,NIFTY MIDCAP 150
SCHAEFFLER,NIFTY MIDCAP 150
SONACOMS,NIFTY MIDCAP 150
SAIL,NIFTY MIDCAP 150
SUNDARMFIN,NIFTY MIDCAP 150
SUPREMEIND,NIFTY MIDCAP 150
SUZLON,NIFTY MIDCAP 150
SWIGGY,NIFTY MIDCAP 150
SYNGENE,NIFTY MIDCAP 150
TATACOMM,NIFTY MIDCAP 150
TATAELXSI,NIFTY MIDCAP 150
TATAINVEST,NIFTY MIDCAP 150
TATATECH,NIFTY MIDCAP 150
NIACL,NIFTY MIDCAP 150
THERMAX,NIFTY MIDCAP 150
TORNTPOWER,NIFTY MIDCAP 150
TIINDIA,NIFTY MIDCAP 150
UCOBANK,NIFTY MIDCAP 150
UNOMINDA,NIFTY MIDCAP 150
UPL,NIFTY MIDCAP 150
UNIONBANK,NIFTY MIDCAP 150
UBL,NIFTY MIDCAP 150
VMM,NIFTY MIDCAP 150
IDEA,NIFTY MIDCAP 150
VOLTAS,NIFTY MIDCAP 150
WAAREEENER,NIFTY MIDCAP 150
YESBANK,NIFTY MIDCAP 150
AARTIIND,NIFTY SMALLCAP 50
ABREL,NIFTY SMALLCAP 50
AEGISLOG,NIFTY SMALLCAP 50
AFFLE,NIFTY SMALLCAP 50
ARE&M,NIFTY SMALLCAP 50
AMBER,NIFTY SMALLCAP 50
ANGELONE,NIFTY SMALLCAP 50
ASTERDM,NIFTY SMALLCAP 50
BANDHANBNK,NIFTY SMALLCAP 50
CESC,NIFTY SMALLCAP 50
CASTROLIND,NIFTY SMALLCAP 50
CDSL,NIFTY SMALLCAP 50
CHOLAHLDNG,NIFTY SMALLCAP 50
CAMS,NIFTY SMALLCAP 50
CROMPTON,NIFTY SMALLCAP 50
CYIENT,NIFTY SMALLCAP 50
DELHIVERY,NIFTY SMALLCAP 50
LALPATHLAB,NIFTY SMALLCAP 50
FSL,NIFTY SMALLCAP 50
FIVESTAR,NIFTY SMALLCAP 50
GLAND,NIFTY SMALLCAP 50
HSCL,NIFTY SMALLCAP 50
IIFL,NIFTY SMALLCAP 50
IEX,NIFTY SMALLCAP 50
INOXWIND,NIFTY SMALLCAP 50
JBCHEPHARM,NIFTY SMALLCAP 50
KARURVYSYA,NIFTY SMALLCAP 50
KAYNES,NIFTY SMALLCAP 50
KEC,NIFTY SMALLCAP 50
KFINTECH,NIFTY SMALLCAP 50
LAURUSLABS,NIFTY SMALLCAP 50
MANAPPURAM,NIFTY SMALLCAP 50
MCX,NIFTY SMALLCAP 50
NATCOPHARM,NIFTY SMALLCAP 50
NBCC,NIFTY SMALLCAP 50
NH,NIFTY SMALLCAP 50
NAVINFLUOR,NIFTY SMALLCAP 50
NEULANDLAB,NIFTY SMALLCAP 50
PGEL,NIFTY SMALLCAP 50
PNBHOUSING,NIFTY SMALLCAP 50
PPLPHARMA,NIFTY SMALLCAP 50
POONAWALLA,NIFTY SMALLCAP 50
RADICO,NIFTY SMALLCAP 50
REDINGTON,NIFTY SMALLCAP 50
RPOWER,NIFTY SMALLCAP 50
TATACHEM,NIFTY SMALLCAP 50
RAMCOCEM,NIFTY SMALLCAP 50
WELCORP,NIFTY SMALLCAP 50
WOCKPHARMA,NIFTY SMALLCAP 50
ZENSARTECH,NIFTY SMALLCAP 50
AADHARHFC,NIFTY SMALLCAP 100
AARTIIND,NIFTY SMALLCAP 100
ABREL,NIFTY SMALLCAP 100
AEGISLOG,NIFTY SMALLCAP 100
AEGISVOPAK,NIFTY SMALLCAP 100
AFCONS,NIFTY SMALLCAP 100
AFFLE,NIFTY SMALLCAP 100
ARE&M,NIFTY SMALLCAP 100
AMBER,NIFTY SMALLCAP 100
ANANDRATHI,NIFTY SMALLCAP 100
ANANTRAJ,NIFTY SMALLCAP 100
ANGELONE,NIFTY SMALLCAP 100
APTUS,NIFTY SMALLCAP 100
ASTERDM,NIFTY SMALLCAP 100
ATUL,NIFTY SMALLCAP 100
BEML,NIFTY SMALLCAP 100
BLS,NIFTY SMALLCAP 100
BANDHANBNK,NIFTY SMALLCAP 100
FIRSTCRY,NIFTY SMALLCAP 100
BRIGADE,NIFTY SMALLCAP 100
CESC,NIFTY SMALLCAP 100
CGCL,NIFTY SMALLCAP 100
CASTROLIND,NIFTY SMALLCAP 100
CDSL,NIFTY SMALLCAP 100
CHAMBLFERT,NIFTY SMALLCAP 100
CHOLAHLDNG,NIFTY SMALLCAP 100
CAMS,NIFTY SMALLCAP 100
CREDITACC,NIFTY SMALLCAP 100
CROMPTON,NIFTY SMALLCAP 100
CYIENT,NIFTY SMALLCAP 100
DATAPATTNS,NIFTY SMALLCAP 100
DEEPAKFERT,NIFTY SMALLCAP 100
DELHIVERY,NIFTY SMALLCAP 100
DEVYANI,NIFTY SMALLCAP 100
LALPATHLAB,NIFTY SMALLCAP 100
FSL,NIFTY SMALLCAP 100
FIVESTAR,NIFTY SMALLCAP 100
GRSE,NIFTY SMALLCAP 100
GILLETTE,NIFTY SMALLCAP 100
GLAND,NIFTY SMALLCAP 100
GODIGIT,NIFTY SMALLCAP 100
GESHIP,NIFTY SMALLCAP 100
HBLENGINE,NIFTY SMALLCAP 100
HSCL,NIFTY SMALLCAP 100
HINDCOPPER,NIFTY SMALLCAP 100
IFCI,NIFTY SMALLCAP 100
IIFL,NIFTY SMALLCAP 100
IRCON,NIFTY SMALLCAP 100
IEX,NIFTY SMALLCAP 100
INOXWIND,NIFTY SMALLCAP 100
IGIL,NIFTY SMALLCAP 100
IKS,NIFTY SMALLCAP 100
JBCHEPHARM,NIFTY SMALLCAP 100
JBMA,NIFTY SMALLCAP 100
JINDALSAW,NIFTY SMALLCAP 100
JWL,NIFTY SMALLCAP 100
JYOTICNC,NIFTY SMALLCAP 100
KAJARIACER,NIFTY SMALLCAP 100
KPIL,NIFTY SMALLCAP 100
KARURVYSYA,NIFTY SMALLCAP 100
KAYNES,NIFTY SMALLCAP 100
KEC,NIFTY SMALLCAP 100
KFINTECH,NIFTY SMALLCAP 100
LAURUSLABS,NIFTY SMALLCAP 100
MGL,NIFTY SMALLCAP 100
MANAPPURAM,NIFTY SMALLCAP 100
MRPL,NIFTY SMALLCAP 100
MCX,NIFTY SMALLCAP 100
NATCOPHARM,NIFTY SMALLCAP 100
NBCC,NIFTY SMALLCAP 100
NCC,NIFTY SMALLCAP 100
NH,NIFTY SMALLCAP 100
NAVINFLUOR,NIFTY SMALLCAP 100
NEULANDLAB,NIFTY SMALLCAP 100
NEWGEN,NIFTY SMALLCAP 100
NUVAMA,NIFTY SMALLCAP 100
OLAELEC,NIFTY SMALLCAP 100
PCBL,NIFTY SMALLCAP 100
PGEL,NIFTY SMALLCAP 100
PNBHOUSING,NIFTY SMALLCAP 100
PPLPHARMA,NIFTY SMALLCAP 100
POONAWALLA,NIFTY SMALLCAP 100
RADICO,NIFTY SMALLCAP 100
REDINGTON,NIFTY SMALLCAP 100
RPOWER,NIFTY SMALLCAP 100
SAGILITY,NIFTY SMALLCAP 100
SHYAMMETL,NIFTY SMALLCAP 100
SIGNATURE,NIFTY SMALLCAP 100
STARHEALTH,NIFTY SMALLCAP 100
SWANCORP,NIFTY SMALLCAP 100
TATACHEM,NIFTY SMALLCAP 100
TEJASNET,NIFTY SMALLCAP 100
RAMCOCEM,NIFTY SMALLCAP 100
TRIDENT,NIFTY SMALLCAP 100
TRITURBINE,NIFTY SMALLCAP 100
WELCORP,NIFTY SMALLCAP 100
WHIRLPOOL,NIFTY SMALLCAP 100
WOCKPHARMA,NIFTY SMALLCAP 100
ZENTEC,NIFTY SMALLCAP 100
ZENSARTECH,NIFTY SMALLCAP 100
ACMESOLAR,NIFTY SMALLCAP 250
AADHARHFC,NIFTY SMALLCAP 250
AARTIIND,NIFTY SMALLCAP 250
AAVAS,NIFTY SMALLCAP 250
ACE,NIFTY SMALLCAP 250
ABFRL,NIFTY SMALLCAP 250
ABLBL,NIFTY SMALLCAP 250
ABREL,NIFTY SMALLCAP 250
ABSLAMC,NIFTY SMALLCAP 250
AEGISLOG,NIFTY SMALLCAP 250
AEGISVOPAK,NIFTY SMALLCAP 250
AFCONS,NIFTY SMALLCAP 250
AFFLE,NIFTY SMALLCAP 250
AKUMS,NIFTY SMALLCAP 250
AKZOINDIA,NIFTY SMALLCAP 250
APLLTD,NIFTY SMALLCAP 250
ALKYLAMINE,NIFTY SMALLCAP 250
ALOKINDS,NIFTY SMALLCAP 250
ARE&M,NIFTY SMALLCAP 250
AMBER,NIFTY SMALLCAP 250
ANANDRATHI,NIFTY SMALLCAP 250
ANANTRAJ,NIFTY SMALLCAP 250
ANGELONE,NIFTY SMALLCAP 250
APTUS,NIFTY SMALLCAP 250
ASAHIINDIA,NIFTY SMALLCAP 250
ASTERDM,NIFTY SMALLCAP 250
ASTRAZEN,NIFTY SMALLCAP 250
ATHERENERG,NIFTY SMALLCAP 250
ATUL,NIFTY SMALLCAP 250
AIIL,NIFTY SMALLCAP 250
BASF,NIFTY SMALLCAP 250
BEML,NIFTY SMALLCAP 250
BLS,NIFTY SMALLCAP 250
BALRAMCHIN,NIFTY SMALLCAP 250
BANDHANBNK,NIFTY SMALLCAP 250
BATAINDIA,NIFTY SMALLCAP 250
BAYERCROP,NIFTY SMALLCAP 250
BIKAJI,NIFTY SMALLCAP 250
BSOFT,NIFTY SMALLCAP 250
BLUEDART,NIFTY SMALLCAP 250
BLUEJET,NIFTY SMALLCAP 250
BBTC,NIFTY SMALLCAP 250
FIRSTCRY,NIFTY SMALLCAP 250
BRIGADE,NIFTY SMALLCAP 250
MAPMYINDIA,NIFTY SMALLCAP 250
CCL,NIFTY SMALLCAP 250
CESC,NIFTY SMALLCAP 250
CAMPUS,NIFTY SMALLCAP 250
CANFINHOME,NIFTY SMALLCAP 250
CAPLIPOINT,NIFTY SMALLCAP 250
CGCL,NIFTY SMALLCAP 250
CARBORUNIV,NIFTY SMALLCAP 250
CASTROLIND,NIFTY SMALLCAP 250
CEATLTD,NIFTY SMALLCAP 250
CENTRALBK,NIFTY SMALLCAP 250
CDSL,NIFTY SMALLCAP 250
CENTURYPLY,NIFTY SMALLCAP 250
CERA,NIFTY SMALLCAP 250
CHALET,NIFTY SMALLCAP 250
CHAMBLFERT,NIFTY SMALLCAP 250
CHENNPETRO,NIFTY SMALLCAP 250
CHOICEIN,NIFTY SMALLCAP 250
CHOLAHLDNG,NIFTY SMALLCAP 250
CUB,NIFTY SMALLCAP 250
CLEAN,NIFTY SMALLCAP 250
COHANCE,NIFTY SMALLCAP 250
CAMS,NIFTY SMALLCAP 250
CONCORDBIO,NIFTY SMALLCAP 250
CRAFTSMAN,NIFTY SMALLCAP 250
CREDITACC,NIFTY SMALLCAP 250
CROMPTON,NIFTY SMALLCAP 250
CYIENT,NIFTY SMALLCAP 250
DCMSHRIRAM,NIFTY SMALLCAP 250
DOMS,NIFTY SMALLCAP 250
DATAPATTNS,NIFTY SMALLCAP 250
DEEPAKFERT,NIFTY SMALLCAP 250
DELHIVERY,NIFTY SMALLCAP 250
DEVYANI,NIFTY SMALLCAP 250
AGARWALEYE,NIFTY SMALLCAP 250
LALPATHLAB,NIFTY SMALLCAP 250
DUMMYSKFIN,NIFTY SMALLCAP 250
EIDPARRY,NIFTY SMALLCAP 250
EIHOTEL,NIFTY SMALLCAP 250
ELECON,NIFTY SMALLCAP 250
ELGIEQUIP,NIFTY SMALLCAP 250
EMAMILTD,NIFTY SMALLCAP 250
EMCURE,NIFTY SMALLCAP 250
ENGINERSIN,NIFTY SMALLCAP 250
ERIS,NIFTY SMALLCAP 250
FINCABLES,NIFTY SMALLCAP 250
FINPIPE,NIFTY SMALLCAP 250
FSL,NIFTY SMALLCAP 250
FIVESTAR,NIFTY SMALLCAP 250
FORCEMOT,NIFTY SMALLCAP 250
GRSE,NIFTY SMALLCAP 250
GILLETTE,NIFTY SMALLCAP 250
GLAND,NIFTY SMALLCAP 250
GODIGIT,NIFTY SMALLCAP 250
GPIL,NIFTY SMALLCAP 250
GODREJAGRO,NIFTY SMALLCAP 250
GRANULES,NIFTY SMALLCAP 250
GRAPHITE,NIFTY SMALLCAP 250
GRAVITA,NIFTY SMALLCAP 250
GESHIP,NIFTY SMALLCAP 250
GMDCLTD,NIFTY SMALLCAP 250
GSPL,NIFTY SMALLCAP 250
HEG,NIFTY SMALLCAP 250
HBLENGINE,NIFTY SMALLCAP 250
HFCL,NIFTY SMALLCAP 250
HAPPSTMNDS,NIFTY SMALLCAP 250
HSCL,NIFTY SMALLCAP 250
HINDCOPPER,NIFTY SMALLCAP 250
HOMEFIRST,NIFTY SMALLCAP 250
HONASA,NIFTY SMALLCAP 250
IFCI,NIFTY SMALLCAP 250
IIFL,NIFTY SMALLCAP 250
INOXINDIA,NIFTY SMALLCAP 250
IRCON,NIFTY SMALLCAP 250
ITI,NIFTY SMALLCAP 250
INDGN,NIFTY SMALLCAP 250
INDIACEM,NIFTY SMALLCAP 250
INDIAMART,NIFTY SMALLCAP 250
IEX,NIFTY SMALLCAP 250
INOXWIND,NIFTY SMALLCAP 250
INTELLECT,NIFTY SMALLCAP 250
IGIL,NIFTY SMALLCAP 250
IKS,NIFTY SMALLCAP 250
JBCHEPHARM,NIFTY SMALLCAP 250
JBMA,NIFTY SMALLCAP 250
JKTYRE,NIFTY SMALLCAP 250
JMFINANCIL,NIFTY SMALLCAP 250
JPPOWER,NIFTY SMALLCAP 250
J&KBANK,NIFTY SMALLCAP 250
JINDALSAW,NIFTY SMALLCAP 250
JUBLINGREA,NIFTY SMALLCAP 250
JUBLPHARMA,NIFTY SMALLCAP 250
JWL,NIFTY SMALLCAP 250
JYOTHYLAB,NIFTY SMALLCAP 250
JYOTICNC,NIFTY SMALLCAP 250
KSB,NIFTY SMALLCAP 250
KAJARIACER,NIFTY SMALLCAP 250
KPIL,NIFTY SMALLCAP 250
KARURVYSYA,NIFTY SMALLCAP 250
KAYNES,NIFTY SMALLCAP 250
KEC,NIFTY SMALLCAP 250
KFINTECH,NIFTY SMALLCAP 250
KIRLOSBROS,NIFTY SMALLCAP 250
KIRLOSENG,NIFTY SMALLCAP 250
KIMS,NIFTY SMALLCAP 250
LTFOODS,NIFTY SMALLCAP 250
LATENTVIEW,NIFTY SMALLCAP 250
LAURUSLABS,NIFTY SMALLCAP 250
THELEELA,NIFTY SMALLCAP 250
LEMONTREE,NIFTY SMALLCAP 250
MMTC,NIFTY SMALLCAP 250
MGL,NIFTY SMALLCAP 250
MAHSCOOTER,NIFTY SMALLCAP 250
MAHSEAMLES,NIFTY SMALLCAP 250
MANAPPURAM,NIFTY SMALLCAP 250
MRPL,NIFTY SMALLCAP 250
METROPOLIS,NIFTY SMALLCAP 250
MINDACORP,NIFTY SMALLCAP 250
MSUMI,NIFTY SMALLCAP 250
MCX,NIFTY SMALLCAP 250
NATCOPHARM,NIFTY SMALLCAP 250
NBCC,NIFTY SMALLCAP 250
NCC,NIFTY SMALLCAP 250
NSLNISP,NIFTY SMALLCAP 250
NH,NIFTY SMALLCAP 250
NAVA,NIFTY SMALLCAP 250
NAVINFLUOR,NIFTY SMALLCAP 250
NETWEB,NIFTY SMALLCAP 250
NEULANDLAB,NIFTY SMALLCAP 250
NEWGEN,NIFTY SMALLCAP 250
NIVABUPA,NIFTY SMALLCAP 250
NUVAMA,NIFTY SMALLCAP 250
NUVOCO,NIFTY SMALLCAP 250
OLAELEC,NIFTY SMALLCAP 250
OLECTRA,NIFTY SMALLCAP 250
ONESOURCE,NIFTY SMALLCAP 250
PCBL,NIFTY SMALLCAP 250
PGEL,NIFTY SMALLCAP 250
PNBHOUSING,NIFTY SMALLCAP 250
PTCIL,NIFTY SMALLCAP 250
PVRINOX,NIFTY SMALLCAP 250
PFIZER,NIFTY SMALLCAP 250
PPLPHARMA,NIFTY SMALLCAP 250
POLYMED,NIFTY SMALLCAP 250
POONAWALLA,NIFTY SMALLCAP 250
PRAJIND,NIFTY SMALLCAP 250
RRKABEL,NIFTY SMALLCAP 250
RBLBANK,NIFTY SMALLCAP 250
RHIM,NIFTY SMALLCAP 250
RITES,NIFTY SMALLCAP 250
RADICO,NIFTY SMALLCAP 250
RAILTEL,NIFTY SMALLCAP 250
RAINBOW,NIFTY SMALLCAP 250
RKFORGE,NIFTY SMALLCAP 250
RCF,NIFTY SMALLCAP 250
