Stock Name,Index
Aurobindo Pharma Ltd.,NIFTY MIDCAP 150
BSE Ltd.,NIFTY MIDCAP 150
Balkrishna Industries Ltd.,NIFTY MIDCAP 150
Bank of India,NIFTY MIDCAP 150
Bank of Maharashtra,NIFTY MIDCAP 150
Berger Paints India Ltd.,NIFTY MIDCAP 150
Bharat Dynamics Ltd.,NIFTY MIDCAP 150
Bharat Forge Ltd.,NIFTY MIDCAP 150
Bharat Heavy Electricals Ltd.,NIFTY MIDCAP 150
Bharti Hexacom Ltd.,NIFTY MIDCAP 150
Biocon Ltd.,NIFTY MIDCAP 150
Blue Star Ltd.,NIFTY MIDCAP 150
CRISIL Ltd.,NIFTY MIDCAP 150
Cochin Shipyard Ltd.,NIFTY MIDCAP 150
Coforge Ltd.,NIFTY MIDCAP 150
Colgate Palmolive (India) Ltd.,NIFTY MIDCAP 150
Container Corporation of India Ltd.,NIFTY MIDCAP 150
Coromandel International Ltd.,NIFTY MIDCAP 150
Cummins India Ltd.,NIFTY MIDCAP 150
Dabur India Ltd.,NIFTY MIDCAP 150
Dalmia Bharat Ltd.,NIFTY MIDCAP 150
Deepak Nitrite Ltd.,NIFTY MIDCAP 150
Dixon Technologies (India) Ltd.,NIFTY MIDCAP 150
Endurance Technologies Ltd.,NIFTY MIDCAP 150
Escorts Kubota Ltd.,NIFTY MIDCAP 150
Exide Industries Ltd.,NIFTY MIDCAP 150
FSN E-Commerce Ventures Ltd.,NIFTY MIDCAP 150
Federal Bank Ltd.,NIFTY MIDCAP 150
Fertilisers and Chemicals Travancore Ltd.,NIFTY MIDCAP 150
Fortis Healthcare Ltd.,NIFTY MIDCAP 150
GE Vernova T&D India Ltd.,NIFTY MIDCAP 150
GMR Airports Ltd.,NIFTY MIDCAP 150
General Insurance Corporation of India,NIFTY MIDCAP 150
Glaxosmithkline Pharmaceuticals Ltd.,NIFTY MIDCAP 150
Glenmark Pharmaceuticals Ltd.,NIFTY MIDCAP 150
Global Health Ltd.,NIFTY MIDCAP 150
Godfrey Phillips India Ltd.,NIFTY MIDCAP 150
Godrej Industries Ltd.,NIFTY MIDCAP 150
Godrej Properties Ltd.,NIFTY MIDCAP 150
Gujarat Fluorochemicals Ltd.,NIFTY MIDCAP 150
Gujarat Gas Ltd.,NIFTY MIDCAP 150
HDFC Asset Management Company Ltd.,NIFTY MIDCAP 150
Hero MotoCorp Ltd.,NIFTY MIDCAP 150
Hexaware Technologies Ltd.,NIFTY MIDCAP 150
Hindustan Petroleum Corporation Ltd.,NIFTY MIDCAP 150
Hitachi Energy India Ltd.,NIFTY MIDCAP 150
Honeywell Automation India Ltd.,NIFTY MIDCAP 150
Housing & Urban Development Corporation Ltd.,NIFTY MIDCAP 150
ICICI Prudential Life Insurance Company Ltd.,NIFTY MIDCAP 150
IDBI Bank Ltd.,NIFTY MIDCAP 150
IDFC First Bank Ltd.,NIFTY MIDCAP 150
IRB Infrastructure Developers Ltd.,NIFTY MIDCAP 150
ITC Hotels Ltd.,NIFTY MIDCAP 150
Indian Bank,NIFTY MIDCAP 150
Indian Overseas Bank,NIFTY MIDCAP 150
Indian Railway Catering And Tourism Corporation Ltd.,NIFTY MIDCAP 150
Indian Renewable Energy Development Agency Ltd.,NIFTY MIDCAP 150
Indraprastha Gas Ltd.,NIFTY MIDCAP 150
Indus Towers Ltd.,NIFTY MIDCAP 150
IndusInd Bank Ltd.,NIFTY MIDCAP 150
Ipca Laboratories Ltd.,NIFTY MIDCAP 150
J.K. Cement Ltd.,NIFTY MIDCAP 150
JSW Infrastructure Ltd.,NIFTY MIDCAP 150
Jindal Stainless Ltd.,NIFTY MIDCAP 150
Jubilant Foodworks Ltd.,NIFTY MIDCAP 150
K.P.R. Mill Ltd.,NIFTY MIDCAP 150
KEI Industries Ltd.,NIFTY MIDCAP 150
KPIT Technologies Ltd.,NIFTY MIDCAP 150
Kalyan Jewellers India Ltd.,NIFTY MIDCAP 150
L&T Finance Ltd.,NIFTY MIDCAP 150
L&T Technology Services Ltd.,NIFTY MIDCAP 150
LIC Housing Finance Ltd.,NIFTY MIDCAP 150
Linde India Ltd.,NIFTY MIDCAP 150
Lloyds Metals And Energy Ltd.,NIFTY MIDCAP 150
Lupin Ltd.,NIFTY MIDCAP 150
MRF Ltd.,NIFTY MIDCAP 150
Mahindra & Mahindra Financial Services Ltd.,NIFTY MIDCAP 150
Mankind Pharma Ltd.,NIFTY MIDCAP 150
Marico Ltd.,NIFTY MIDCAP 150
Max Financial Services Ltd.,NIFTY MIDCAP 150
Motilal Oswal Financial Services Ltd.,NIFTY MIDCAP 150
MphasiS Ltd.,NIFTY MIDCAP 150
Muthoot Finance Ltd.,NIFTY MIDCAP 150
NHPC Ltd.,NIFTY MIDCAP 150
NLC India Ltd.,NIFTY MIDCAP 150
NMDC Ltd.,NIFTY MIDCAP 150
NTPC Green Energy Ltd.,NIFTY MIDCAP 150
National Aluminium Co. Ltd.,NIFTY MIDCAP 150
Nippon Life India Asset Management Ltd.,NIFTY MIDCAP 150
Oberoi Realty Ltd.,NIFTY MIDCAP 150
Oil India Ltd.,NIFTY MIDCAP 150
One 97 Communications Ltd.,NIFTY MIDCAP 150
Oracle Financial Services Software Ltd.,NIFTY MIDCAP 150
PB Fintech Ltd.,NIFTY MIDCAP 150
PI Industries Ltd.,NIFTY MIDCAP 150
Page Industries Ltd.,NIFTY MIDCAP 150
Patanjali Foods Ltd.,NIFTY MIDCAP 150
Persistent Systems Ltd.,NIFTY MIDCAP 150
Petronet LNG Ltd.,NIFTY MIDCAP 150
Phoenix Mills Ltd.,NIFTY MIDCAP 150
Polycab India Ltd.,NIFTY MIDCAP 150
Premier Energies Ltd.,NIFTY MIDCAP 150
Prestige Estates Projects Ltd.,NIFTY MIDCAP 150
Procter & Gamble Hygiene & Health Care Ltd.,NIFTY MIDCAP 150
Rail Vikas Nigam Ltd.,NIFTY MIDCAP 150
SBI Cards and Payment Services Ltd.,NIFTY MIDCAP 150
SJVN Ltd.,NIFTY MIDCAP 150
SRF Ltd.,NIFTY MIDCAP 150
Schaeffler India Ltd.,NIFTY MIDCAP 150
Sona BLW Precision Forgings Ltd.,NIFTY MIDCAP 150
Steel Authority of India Ltd.,NIFTY MIDCAP 150
Sundaram Finance Ltd.,NIFTY MIDCAP 150
Supreme Industries Ltd.,NIFTY MIDCAP 150
Suzlon Energy Ltd.,NIFTY MIDCAP 150
Swiggy Ltd.,NIFTY MIDCAP 150
Syngene International Ltd.,NIFTY MIDCAP 150
Tata Communications Ltd.,NIFTY MIDCAP 150
Tata Elxsi Ltd.,NIFTY MIDCAP 150
Tata Investment Corporation Ltd.,NIFTY MIDCAP 150
Tata Technologies Ltd.,NIFTY MIDCAP 150
The New India Assurance Company Ltd.,NIFTY MIDCAP 150
Thermax Ltd.,NIFTY MIDCAP 150
Torrent Power Ltd.,NIFTY MIDCAP 150
Tube Investments of India Ltd.,NIFTY MIDCAP 150
UCO Bank,NIFTY MIDCAP 150
UNO Minda Ltd.,NIFTY MIDCAP 150
UPL Ltd.,NIFTY MIDCAP 150
Union Bank of India,NIFTY MIDCAP 150
United Breweries Ltd.,NIFTY MIDCAP 150
Vishal Mega Mart Ltd.,NIFTY MIDCAP 150
Vodafone Idea Ltd.,NIFTY MIDCAP 150
Voltas Ltd.,NIFTY MIDCAP 150
Waaree Energies Ltd.,NIFTY MIDCAP 150
Yes Bank Ltd.,NIFTY MIDCAP 150
ACME Solar Holdings Ltd.,NIFTY SMALLCAP 250
Aadhar Housing Finance Ltd.,NIFTY SMALLCAP 250
Aarti Industries Ltd.,NIFTY SMALLCAP 250
Aavas Financiers Ltd.,NIFTY SMALLCAP 250
Action Construction Equipment Ltd.,NIFTY SMALLCAP 250
Aditya Birla Fashion and Retail Ltd.,NIFTY SMALLCAP 250
Aditya Birla Lifestyle Brands Ltd.,NIFTY SMALLCAP 250
Aditya Birla Real Estate Ltd.,NIFTY SMALLCAP 250
Aditya Birla Sun Life AMC Ltd.,NIFTY SMALLCAP 250
Aegis Logistics Ltd.,NIFTY SMALLCAP 250
Aegis Vopak Terminals Ltd.,NIFTY SMALLCAP 250
Afcons Infrastructure Ltd.,NIFTY SMALLCAP 250
Affle 3i Ltd.,NIFTY SMALLCAP 250
Akums Drugs and Pharmaceuticals Ltd.,NIFTY SMALLCAP 250
Akzo Nobel India Ltd.,NIFTY SMALLCAP 250
Alembic Pharmaceuticals Ltd.,NIFTY SMALLCAP 250
Alkyl Amines Chemicals Ltd.,NIFTY SMALLCAP 250
Alok Industries Ltd.,NIFTY SMALLCAP 250
Amara Raja Energy & Mobility Ltd.,NIFTY SMALLCAP 250
Amber Enterprises India Ltd.,NIFTY SMALLCAP 250
Anand Rathi Wealth Ltd.,NIFTY SMALLCAP 250
Anant Raj Ltd.,NIFTY SMALLCAP 250
Angel One Ltd.,NIFTY SMALLCAP 250
Aptus Value Housing Finance India Ltd.,NIFTY SMALLCAP 250
Asahi India Glass Ltd.,NIFTY SMALLCAP 250
Aster DM Healthcare Ltd.,NIFTY SMALLCAP 250
AstraZenca Pharma India Ltd.,NIFTY SMALLCAP 250
Ather Energy Ltd.,NIFTY SMALLCAP 250
Atul Ltd.,NIFTY SMALLCAP 250
Authum Investment & Infrastructure Ltd.,NIFTY SMALLCAP 250
BASF India Ltd.,NIFTY SMALLCAP 250
BEML Ltd.,NIFTY SMALLCAP 250
BLS International Services Ltd.,NIFTY SMALLCAP 250
Balrampur Chini Mills Ltd.,NIFTY SMALLCAP 250
Bandhan Bank Ltd.,NIFTY SMALLCAP 250
Bata India Ltd.,NIFTY SMALLCAP 250
Bayer Cropscience Ltd.,NIFTY SMALLCAP 250
Bikaji Foods International Ltd.,NIFTY SMALLCAP 250
Birlasoft Ltd.,NIFTY SMALLCAP 250
Blue Dart Express Ltd.,NIFTY SMALLCAP 250
Blue Jet Healthcare Ltd.,NIFTY SMALLCAP 250
Bombay Burmah Trading Corporation Ltd.,NIFTY SMALLCAP 250
Brainbees Solutions Ltd.,NIFTY SMALLCAP 250
Brigade Enterprises Ltd.,NIFTY SMALLCAP 250
C.E. Info Systems Ltd.,NIFTY SMALLCAP 250
CCL Products (I) Ltd.,NIFTY SMALLCAP 250
CESC Ltd.,NIFTY SMALLCAP 250
Campus Activewear Ltd.,NIFTY SMALLCAP 250
Can Fin Homes Ltd.,NIFTY SMALLCAP 250
Caplin Point Laboratories Ltd.,NIFTY SMALLCAP 250
Capri Global Capital Ltd.,NIFTY SMALLCAP 250
Carborundum Universal Ltd.,NIFTY SMALLCAP 250
Castrol India Ltd.,NIFTY SMALLCAP 250
Ceat Ltd.,NIFTY SMALLCAP 250
Central Bank of India,NIFTY SMALLCAP 250
Central Depository Services (India) Ltd.,NIFTY SMALLCAP 250
Century Plyboards (India) Ltd.,NIFTY SMALLCAP 250
Cera Sanitaryware Ltd,NIFTY SMALLCAP 250
Chalet Hotels Ltd.,NIFTY SMALLCAP 250
Chambal Fertilizers & Chemicals Ltd.,NIFTY SMALLCAP 250
Chennai Petroleum Corporation Ltd.,NIFTY SMALLCAP 250
Choice International Ltd.,NIFTY SMALLCAP 250
Cholamandalam Financial Holdings Ltd.,NIFTY SMALLCAP 250
City Union Bank Ltd.,NIFTY SMALLCAP 250
Clean Science and Technology Ltd.,NIFTY SMALLCAP 250
Cohance Lifesciences Ltd.,NIFTY SMALLCAP 250
Computer Age Management Services Ltd.,NIFTY SMALLCAP 250
Concord Biotech Ltd.,NIFTY SMALLCAP 250
Craftsman Automation Ltd.,NIFTY SMALLCAP 250
CreditAccess Grameen Ltd.,NIFTY SMALLCAP 250
Crompton Greaves Consumer Electricals Ltd.,NIFTY SMALLCAP 250
Cyient Ltd.,NIFTY SMALLCAP 250
DCM Shriram Ltd.,NIFTY SMALLCAP 250
DOMS Industries Ltd.,NIFTY SMALLCAP 250
Data Patterns (India) Ltd.,NIFTY SMALLCAP 250
Deepak Fertilisers & Petrochemicals Corp. Ltd.,NIFTY SMALLCAP 250
Delhivery Ltd.,NIFTY SMALLCAP 250
Devyani International Ltd.,NIFTY SMALLCAP 250
Dr. Agarwal's Health Care Ltd.,NIFTY SMALLCAP 250
Dr. Lal Path Labs Ltd.,NIFTY SMALLCAP 250
E.I.D. Parry (India) Ltd.,NIFTY SMALLCAP 250
EIH Ltd.,NIFTY SMALLCAP 250
Elecon Engineering Co. Ltd.,NIFTY SMALLCAP 250
Elgi Equipments Ltd.,NIFTY SMALLCAP 250
Emami Ltd.,NIFTY SMALLCAP 250
Emcure Pharmaceuticals Ltd.,NIFTY SMALLCAP 250
Engineers India Ltd.,NIFTY SMALLCAP 250
Eris Lifesciences Ltd.,NIFTY SMALLCAP 250
Finolex Cables Ltd.,NIFTY SMALLCAP 250
Finolex Industries Ltd.,NIFTY SMALLCAP 250
Firstsource Solutions Ltd.,NIFTY SMALLCAP 250
Five-Star Business Finance Ltd.,NIFTY SMALLCAP 250
Force Motors Ltd.,NIFTY SMALLCAP 250
Garden Reach Shipbuilders & Engineers Ltd.,NIFTY SMALLCAP 250
Gillette India Ltd.,NIFTY SMALLCAP 250
Gland Pharma Ltd.,NIFTY SMALLCAP 250
Go Digit General Insurance Ltd.,NIFTY SMALLCAP 250
Godawari Power & Ispat Ltd.,NIFTY SMALLCAP 250
Godrej Agrovet Ltd.,NIFTY SMALLCAP 250
Granules India Ltd.,NIFTY SMALLCAP 250
Graphite India Ltd.,NIFTY SMALLCAP 250
Gravita India Ltd.,NIFTY SMALLCAP 250
Great Eastern Shipping Co. Ltd.,NIFTY SMALLCAP 250
Gujarat Mineral Development Corporation Ltd.,NIFTY SMALLCAP 250
Gujarat State Petronet Ltd.,NIFTY SMALLCAP 250
H.E.G. Ltd.,NIFTY SMALLCAP 250
HBL Engineering Ltd.,NIFTY SMALLCAP 250
HFCL Ltd.,NIFTY SMALLCAP 250
Happiest Minds Technologies Ltd.,NIFTY SMALLCAP 250
Himadri Speciality Chemical Ltd.,NIFTY SMALLCAP 250
Hindustan Copper Ltd.,NIFTY SMALLCAP 250
Home First Finance Company India Ltd.,NIFTY SMALLCAP 250
Honasa Consumer Ltd.,NIFTY SMALLCAP 250
IFCI Ltd.,NIFTY SMALLCAP 250
IIFL Finance Ltd.,NIFTY SMALLCAP 250
INOX India Ltd.,NIFTY SMALLCAP 250
IRCON International Ltd.,NIFTY SMALLCAP 250
ITI Ltd.,NIFTY SMALLCAP 250
Indegene Ltd.,NIFTY SMALLCAP 250
India Cements Ltd.,NIFTY SMALLCAP 250
Indiamart Intermesh Ltd.,NIFTY SMALLCAP 250
Indian Energy Exchange Ltd.,NIFTY SMALLCAP 250
Inox Wind Ltd.,NIFTY SMALLCAP 250
Intellect Design Arena Ltd.,NIFTY SMALLCAP 250
International Gemmological Institute (India) Ltd.,NIFTY SMALLCAP 250
Inventurus Knowledge Solutions Ltd.,NIFTY SMALLCAP 250
J.B. Chemicals & Pharmaceuticals Ltd.,NIFTY SMALLCAP 250
JBM Auto Ltd.,NIFTY SMALLCAP 250
JK Tyre & Industries Ltd.,NIFTY SMALLCAP 250
JM Financial Ltd.,NIFTY SMALLCAP 250
Jaiprakash Power Ventures Ltd.,NIFTY SMALLCAP 250
Jammu & Kashmir Bank Ltd.,NIFTY SMALLCAP 250
Jindal Saw Ltd.,NIFTY SMALLCAP 250
Jubilant Ingrevia Ltd.,NIFTY SMALLCAP 250
Jubilant Pharmova Ltd.,NIFTY SMALLCAP 250
Jupiter Wagons Ltd.,NIFTY SMALLCAP 250
Jyothy Labs Ltd.,NIFTY SMALLCAP 250
Jyoti CNC Automation Ltd.,NIFTY SMALLCAP 250
KSB Ltd.,NIFTY SMALLCAP 250
Kajaria Ceramics Ltd.,NIFTY SMALLCAP 250
Kalpataru Projects International Ltd.,NIFTY SMALLCAP 250
Karur Vysya Bank Ltd.,NIFTY SMALLCAP 250
Kaynes Technology India Ltd.,NIFTY SMALLCAP 250
Kec International Ltd.,NIFTY SMALLCAP 250
Kfin Technologies Ltd.,NIFTY SMALLCAP 250
Kirloskar Brothers Ltd.,NIFTY SMALLCAP 250
Kirloskar Oil Eng Ltd.,NIFTY SMALLCAP 250
Krishna Institute of Medical Sciences Ltd.,NIFTY SMALLCAP 250
LT Foods Ltd.,NIFTY SMALLCAP 250
Latent View Analytics Ltd.,NIFTY SMALLCAP 250
Laurus Labs Ltd.,NIFTY SMALLCAP 250
Leela Palaces Hotels & Resorts Ltd.,NIFTY SMALLCAP 250
Lemon Tree Hotels Ltd.,NIFTY SMALLCAP 250
MMTC Ltd.,NIFTY SMALLCAP 250
Mahanagar Gas Ltd.,NIFTY SMALLCAP 250
Maharashtra Scooters Ltd.,NIFTY SMALLCAP 250
Maharashtra Seamless Ltd.,NIFTY SMALLCAP 250
Manappuram Finance Ltd.,NIFTY SMALLCAP 250
Mangalore Refinery & Petrochemicals Ltd.,NIFTY SMALLCAP 250
Metropolis Healthcare Ltd.,NIFTY SMALLCAP 250
Minda Corporation Ltd.,NIFTY SMALLCAP 250
Motherson Sumi Wiring India Ltd.,NIFTY SMALLCAP 250
Multi Commodity Exchange of India Ltd.,NIFTY SMALLCAP 250
NATCO Pharma Ltd.,NIFTY SMALLCAP 250
NBCC (India) Ltd.,NIFTY SMALLCAP 250
NCC Ltd.,NIFTY SMALLCAP 250
NMDC Steel Ltd.,NIFTY SMALLCAP 250
Narayana Hrudayalaya Ltd.,NIFTY SMALLCAP 250
Nava Ltd.,NIFTY SMALLCAP 250
Navin Fluorine International Ltd.,NIFTY SMALLCAP 250
Netweb Technologies India Ltd.,NIFTY SMALLCAP 250
Neuland Laboratories Ltd.,NIFTY SMALLCAP 250
Newgen Software Technologies Ltd.,NIFTY SMALLCAP 250
Niva Bupa Health Insurance Company Ltd.,NIFTY SMALLCAP 250
Nuvama Wealth Management Ltd.,NIFTY SMALLCAP 250
Nuvoco Vistas Corporation Ltd.,NIFTY SMALLCAP 250
Ola Electric Mobility Ltd.,NIFTY SMALLCAP 250
Olectra Greentech Ltd.,NIFTY SMALLCAP 250
Onesource Specialty Pharma Ltd.,NIFTY SMALLCAP 250
PCBL Chemical Ltd.,NIFTY SMALLCAP 250
PG Electroplast Ltd.,NIFTY SMALLCAP 250
PNB Housing Finance Ltd.,NIFTY SMALLCAP 250
PTC Industries Ltd.,NIFTY SMALLCAP 250
PVR INOX Ltd.,NIFTY SMALLCAP 250
Pfizer Ltd.,NIFTY SMALLCAP 250
Piramal Pharma Ltd.,NIFTY SMALLCAP 250
Poly Medicure Ltd.,NIFTY SMALLCAP 250
Poonawalla Fincorp Ltd.,NIFTY SMALLCAP 250
Praj Industries Ltd.,NIFTY SMALLCAP 250
R R Kabel Ltd.,NIFTY SMALLCAP 250
RBL Bank Ltd.,NIFTY SMALLCAP 250
RHI MAGNESITA INDIA LTD.,NIFTY SMALLCAP 250
RITES Ltd.,NIFTY SMALLCAP 250
Radico Khaitan Ltd,NIFTY SMALLCAP 250
Railtel Corporation Of India Ltd.,NIFTY SMALLCAP 250
Rainbow Childrens Medicare Ltd.,NIFTY SMALLCAP 250
Ramkrishna Forgings Ltd.,NIFTY SMALLCAP 250
Rashtriya Chemicals & Fertilizers Ltd.,NIFTY SMALLCAP 250
Redington Ltd.,NIFTY SMALLCAP 250
Reliance Infrastructure Ltd.,NIFTY SMALLCAP 250
Reliance Power Ltd.,NIFTY SMALLCAP 250
SBFC Finance Ltd.,NIFTY SMALLCAP 250
SKF India (Industrial) Ltd.,NIFTY SMALLCAP 250
SKF India Ltd.,NIFTY SMALLCAP 250
Sagility Ltd.,NIFTY SMALLCAP 250
Sai Life Sciences Ltd.,NIFTY SMALLCAP 250
Sammaan Capital Ltd.,NIFTY SMALLCAP 250
Sapphire Foods India Ltd.,NIFTY SMALLCAP 250
Sarda Energy and Minerals Ltd.,NIFTY SMALLCAP 250
Saregama India Ltd,NIFTY SMALLCAP 250
Schneider Electric Infrastructure Ltd.,NIFTY SMALLCAP 250
Shipping Corporation of India Ltd.,NIFTY SMALLCAP 250
Shyam Metalics and Energy Ltd.,NIFTY SMALLCAP 250
Signatureglobal (India) Ltd.,NIFTY SMALLCAP 250
Sobha Ltd.,NIFTY SMALLCAP 250
Sonata Software Ltd.,NIFTY SMALLCAP 250
Star Health and Allied Insurance Company Ltd.,NIFTY SMALLCAP 250
Sumitomo Chemical India Ltd.,NIFTY SMALLCAP 250
Sun TV Network Ltd.,NIFTY SMALLCAP 250
Sundram Fasteners Ltd.,NIFTY SMALLCAP 250
Swan Corp Ltd.,NIFTY SMALLCAP 250
Syrma SGS Technology Ltd.,NIFTY SMALLCAP 250
TBO Tek Ltd.,NIFTY SMALLCAP 250
Tata Chemicals Ltd.,NIFTY SMALLCAP 250
Tata Teleservices (Maharashtra) Ltd.,NIFTY SMALLCAP 250
Techno Electric & Engineering Company Ltd.,NIFTY SMALLCAP 250
Tejas Networks Ltd.,NIFTY SMALLCAP 250
The Ramco Cements Ltd.,NIFTY SMALLCAP 250
Timken India Ltd.,NIFTY SMALLCAP 250
Titagarh Rail Systems Ltd.,NIFTY SMALLCAP 250
Transformers And Rectifiers (India) Ltd.,NIFTY SMALLCAP 250
Trident Ltd.,NIFTY SMALLCAP 250
Triveni Engineering & Industries Ltd.,NIFTY SMALLCAP 250
Triveni Turbine Ltd.,NIFTY SMALLCAP 250
UTI Asset Management Company Ltd.,NIFTY SMALLCAP 250
Usha Martin Ltd.,NIFTY SMALLCAP 250
V-Guard Industries Ltd.,NIFTY SMALLCAP 250
Valor Estate Ltd.,NIFTY SMALLCAP 250
Vardhman Textiles Ltd.,NIFTY SMALLCAP 250
Vedant Fashions Ltd.,NIFTY SMALLCAP 250
Ventive Hospitality Ltd.,NIFTY SMALLCAP 250
Vijaya Diagnostic Centre Ltd.,NIFTY SMALLCAP 250
Welspun Corp Ltd.,NIFTY SMALLCAP 250
Welspun Living Ltd.,NIFTY SMALLCAP 250
Whirlpool of India Ltd.,NIFTY SMALLCAP 250
Wockhardt Ltd.,NIFTY SMALLCAP 250
ZF Commercial Vehicle Control Systems India Ltd.,NIFTY SMALLCAP 250
Zee Entertainment Enterprises Ltd.,NIFTY SMALLCAP 250
Zen Technologies Ltd.,NIFTY SMALLCAP 250
Zensar Technolgies Ltd.,NIFTY SMALLCAP 250
eClerx Services Ltd.,NIFTY SMALLCAP 250
AU Small Finance Bank Ltd.,NIFTY BANK
Axis Bank Ltd.,NIFTY BANK
Bank of Baroda,NIFTY BANK
Canara Bank,NIFTY BANK
Federal Bank Ltd.,NIFTY BANK
HDFC Bank Ltd.,NIFTY BANK
ICICI Bank Ltd.,NIFTY BANK
IDFC First Bank Ltd.,NIFTY BANK
IndusInd Bank Ltd.,NIFTY BANK
Kotak Mahindra Bank Ltd.,NIFTY BANK
Punjab National Bank,NIFTY BANK
State Bank of India,NIFTY BANK
Coforge Ltd.,NIFTY IT
HCL Technologies Ltd.,NIFTY IT
Infosys Ltd.,NIFTY IT
LTIMindtree Ltd.,NIFTY IT
MphasiS Ltd.,NIFTY IT
Oracle Financial Services Software Ltd.,NIFTY IT
Persistent Systems Ltd.,NIFTY IT
Tata Consultancy Services Ltd.,NIFTY IT
Tech Mahindra Ltd.,NIFTY IT
Wipro Ltd.,NIFTY IT
Abbott India Ltd.,NIFTY PHARMA
Ajanta Pharmaceuticals Ltd.,NIFTY PHARMA
Alkem Laboratories Ltd.,NIFTY PHARMA
Aurobindo Pharma Ltd.,NIFTY PHARMA
Biocon Ltd.,NIFTY PHARMA
Cipla Ltd.,NIFTY PHARMA
Divi's Laboratories Ltd.,NIFTY PHARMA
Dr. Reddy's Laboratories Ltd.,NIFTY PHARMA
Gland Pharma Ltd.,NIFTY PHARMA
Glenmark Pharmaceuticals Ltd.,NIFTY PHARMA
Ipca Laboratories Ltd.,NIFTY PHARMA
J.B. Chemicals & Pharmaceuticals Ltd.,NIFTY PHARMA
Laurus Labs Ltd.,NIFTY PHARMA
Lupin Ltd.,NIFTY PHARMA
Mankind Pharma Ltd.,NIFTY PHARMA
Piramal Pharma Ltd.,NIFTY PHARMA
Sun Pharmaceutical Industries Ltd.,NIFTY PHARMA
Torrent Pharmaceuticals Ltd.,NIFTY PHARMA
Wockhardt Ltd.,NIFTY PHARMA
Zydus Lifesciences Ltd.,NIFTY PHARMA
Britannia Industries Ltd.,NIFTY FMCG
Colgate Palmolive (India) Ltd.,NIFTY FMCG
Dabur India Ltd.,NIFTY FMCG
Emami Ltd.,NIFTY FMCG
Godrej Consumer Products Ltd.,NIFTY FMCG
Hindustan Unilever Ltd.,NIFTY FMCG
ITC Ltd.,NIFTY FMCG
Marico Ltd.,NIFTY FMCG
Nestle India Ltd.,NIFTY FMCG
Patanjali Foods Ltd.,NIFTY FMCG
Radico Khaitan Ltd,NIFTY FMCG
Tata Consumer Products Ltd.,NIFTY FMCG
United Breweries Ltd.,NIFTY FMCG
United Spirits Ltd.,NIFTY FMCG
Varun Beverages Ltd.,NIFTY FMCG
