Stock Name,Index
Anant Raj Ltd.,NIFTY 500
Angel One Ltd.,NIFTY 500
Apar Industries Ltd.,NIFTY 500
Apollo Hospitals Enterprise Ltd.,NIFTY 500
Apollo Tyres Ltd.,NIFTY 500
Aptus Value Housing Finance India Ltd.,NIFTY 500
Asahi India Glass Ltd.,NIFTY 500
Ashok Leyland Ltd.,NIFTY 500
Asian Paints Ltd.,NIFTY 500
Aster DM Healthcare Ltd.,NIFTY 500
AstraZenca Pharma India Ltd.,NIFTY 500
Astral Ltd.,NIFTY 500
Ather Energy Ltd.,NIFTY 500
Atul Ltd.,NIFTY 500
Aurobindo Pharma Ltd.,NIFTY 500
Authum Investment & Infrastructure Ltd.,NIFTY 500
Avenue Supermarts Ltd.,NIFTY 500
Axis Bank Ltd.,NIFTY 500
BASF India Ltd.,NIFTY 500
BEML Ltd.,NIFTY 500
BLS International Services Ltd.,NIFTY 500
BSE Ltd.,NIFTY 500
Bajaj Auto Ltd.,NIFTY 500
Bajaj Finance Ltd.,NIFTY 500
Bajaj Finserv Ltd.,NIFTY 500
Bajaj Holdings & Investment Ltd.,NIFTY 500
Bajaj Housing Finance Ltd.,NIFTY 500
Balkrishna Industries Ltd.,NIFTY 500
Balrampur Chini Mills Ltd.,NIFTY 500
Bandhan Bank Ltd.,NIFTY 500
Bank of Baroda,NIFTY 500
Bank of India,NIFTY 500
Bank of Maharashtra,NIFTY 500
Bata India Ltd.,NIFTY 500
Bayer Cropscience Ltd.,NIFTY 500
Berger Paints India Ltd.,NIFTY 500
Bharat Dynamics Ltd.,NIFTY 500
Bharat Electronics Ltd.,NIFTY 500
Bharat Forge Ltd.,NIFTY 500
Bharat Heavy Electricals Ltd.,NIFTY 500
Bharat Petroleum Corporation Ltd.,NIFTY 500
Bharti Airtel Ltd.,NIFTY 500
Bharti Hexacom Ltd.,NIFTY 500
Bikaji Foods International Ltd.,NIFTY 500
Biocon Ltd.,NIFTY 500
Birlasoft Ltd.,NIFTY 500
Blue Dart Express Ltd.,NIFTY 500
Blue Jet Healthcare Ltd.,NIFTY 500
Blue Star Ltd.,NIFTY 500
Bombay Burmah Trading Corporation Ltd.,NIFTY 500
Bosch Ltd.,NIFTY 500
Brainbees Solutions Ltd.,NIFTY 500
Brigade Enterprises Ltd.,NIFTY 500
Britannia Industries Ltd.,NIFTY 500
C.E. Info Systems Ltd.,NIFTY 500
CCL Products (I) Ltd.,NIFTY 500
CESC Ltd.,NIFTY 500
CG Power and Industrial Solutions Ltd.,NIFTY 500
CRISIL Ltd.,NIFTY 500
Campus Activewear Ltd.,NIFTY 500
Can Fin Homes Ltd.,NIFTY 500
Canara Bank,NIFTY 500
Caplin Point Laboratories Ltd.,NIFTY 500
Capri Global Capital Ltd.,NIFTY 500
Carborundum Universal Ltd.,NIFTY 500
Castrol India Ltd.,NIFTY 500
Ceat Ltd.,NIFTY 500
Central Bank of India,NIFTY 500
Central Depository Services (India) Ltd.,NIFTY 500
Century Plyboards (India) Ltd.,NIFTY 500
Cera Sanitaryware Ltd,NIFTY 500
Chalet Hotels Ltd.,NIFTY 500
Chambal Fertilizers & Chemicals Ltd.,NIFTY 500
Chennai Petroleum Corporation Ltd.,NIFTY 500
Choice International Ltd.,NIFTY 500
Cholamandalam Financial Holdings Ltd.,NIFTY 500
Cholamandalam Investment and Finance Company Ltd.,NIFTY 500
Cipla Ltd.,NIFTY 500
City Union Bank Ltd.,NIFTY 500
Clean Science and Technology Ltd.,NIFTY 500
